Mine/Prospect,Project Name,Mining Method,Co-Producing Materials,Existing Mine,Status of Project,Regulatory Challenges ,County,Nearest Population Center,Population Size,Additional Location Information,Mining District,Mineral Occurrence,Lead Developer,Location of Lead Developer HQ,Lead Developer Website,Parent Company,Location of Parent Company HQ,Was There Change in Ownership during Project?,Planned Production Capacity (Thousands of Tons/Year),"Planned Lifespan of Mine 
(Years)",Processing Plan in US,Processing Done by the Same Lead Developer/Parent Company,"Total Capital Costs
 (Millions of Dollars)",Number of Federal Awards,Financial Support by Federal Agency,Year Granted,Grant/Loan,"Amount 
(Millions of Dollars)",Purpose of Support,Public Supply Agreement w/ an Automaker or Battery/Component Producer,Type of Land,Public Land Ownership,Year of Land Acquisition,Evidence of Litigation,Number of Cases,State and/or Federal,Court Rulings Issued,Level of Court,Link to Judicial Decision
Tamarack , ,,,,"Talon’s proposed nickel-copper-cobalt mine is currently being submitted for federal environmental review. Once approved, it could potentially enter production as soon as 2028.    ","In 2024, the developer submitted its seventh exploration plan, seeking agency approval. Concerns have been raised by both tribal and environmental groups. ",,,,"Located 1.5 miles north of Tamarack (pop 57, 2020), 10 miles east of McGregor (pop 384, 2020), and 30 miles west of Cloquet (pop 12,568, 2020) in central Minnesota; around 130 miles north of Minneapolis and 50 miles west of Duluth.",,,,,"The project is being developed through a joint venture with Kennecott, a subsidiary of Rio Tinto.","Talon Metals owns 51% of the Tamarack project. The other 49% is owned by Kennecott- Exploration Company, a subsidiary of Rio Tinto.",,,,,Processing will occur in a nearby town in North Dakota. ,,,,"DOE $114 million grant for a processing plant in nearby North Dakota. Talon has also been awarded $21 M from DOD, some which may be used at Tamarack. In 2024, the US Department of Defense awarded Talon a $2.4 million contract to aid research and development into new techniques for extracting minerals from nickel sulphide ores and tailings. The research will focus on the Tamarack project. ",,,,,"Talon has an agreement with Tesla Inc. to supply 75,000 metric tonnes (165 million lbs) of nickel in concentrate (and certain by-products, including cobalt and iron) from the Tamarack Nickel Project over an estimated six-year period.","90% state owned lands, 10% private land.",,,,,,In early stages of environmental review but may face obstacles similar toTwin Metals. ,,
Thacker Pass,,,,,"The fully permitted project is now under construction, with full production scheduled for 2028.","The project was delayed several years due to permitting delays and lawsuits related to the concerns of ranchers, environmentalists and tribal groups.  Regulatory deliberations may not have ended: The USFS has initiated a one-year study of an endangered snail at the project site. ",,,,"Located 21 miles west-northwest of Orovada (pop 117, 2020) and 60 miles north-northwest of Winnemucca (pop 8,431, 2020) within the McDermitt Caldera (an old volcanic complex on the Nevada-Oregon border); 200 miles north of Reno in northwest Nevada",,,,,,,,,,,,,,, DOE loan in final stages: $2.62 billion for lithium carbonate processing facility.,,,,,"GM has restructured and expanded financial commitment to Thacker Pass. GM will invest $625 million in Thacker Pass (a 38% stake), Lithium America’s retains majority (62% stake). GM’s original plan was to invest only $328 million in the first phase.  GM receives exclusive rights to output from mine for first 20 years, then 38% of mine’s output in second 20 years. Orion Resource Partners has also invested $250 million in the Thacker Pass Phase I Project, which now means – counting Orion support, GM support and DOE support – the Phase 1 of the Thacker Pass project is fully funded.",,,,"There were two lawsuits against BLM's decision about Thacker Pass in the same federal court. The first one focused on the environmental impacts and was led by a rancher, environmental groups, and two tribes. The second brought in additional tribes and focused on whether BLM engaged in proper consultation with the tribes. The plaintiffs lost the original lawsuit  in both the district court and the 9th Circuit. The second one lost in district court and the tribes decided not to appeal to the 9th Circuit. ",,,,,
TLC ,,,,,The 2024 drilling program will allow an update to the January 2023 resource estimate.  Environmental baseline study work and hydrology/water monitoring are on-going as the developer readies to commence the Mine Plan of Operations permitting process.,,,,,"Located 6 miles northwest of Tonopah (pop 2,179, 2020) in the Big Smoky Valley, halfway between Reno and Las Vegas. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tohono,,,,,,,,,,"Approximately 25-30 miles south of Casa Grande, near the village of North Komelik, Pinal County, southwestern Arizona.",,,,,,,,,,,,,,,,,,,,,"Developer has 4,180 acres of land leased from the Bureau of Indian Affairs and the Tohono O’odham Nation.",,,,,,,,
Tonopah Flats,,,,"Production ended in 1982, peak production in 1953.","2023 drilling program led to updated mineral resource estimates in a 2024 technical report.  Since Tonopah Flats is an unconventional claystone resource, the developer has advanced first-of-kind lithium hydroxide extraction and purification processes specific to the site’s claystone material.  In 2024 the developer finished construction of an integrated pilot scale facility to demonstrate these processes.",,,,,"Located in Big Smoky Valley 5 miles west of town of Tonopah (2179, 2020) between the San Antonio Mountains to the east and the Monte Cristo Mountains to the west. Tonopah is located at the junction of U.S. Routes 6 and 95, approximately midway between Las Vegas and Reno, Nevada.",,,,,,,,,,,,,,,"The developer has received a DOE grant to help finance a commercial scale lithium hydroxide refinery, a DOE grant for a demonstration facility of techniques to convert claystone into lithium hydroxide, and multiple DOE tax credits for battery recycling facilities. ",,,,,,,,,,,,,,
Tormey,,,,,"The developer plans a 2500m drill program to test the extensions of  high grade surface zones at depth.  In September 2022 USFS approved drilling 30 holes averaging 1,000 on 10 drilling pads along Torney Creek and Perreau Creek.",,,,,"Located approximately 10 miles southwest of Salmon (pop 6,274, 2022), Lemhi County, Idaho.",,,,,,,,,,,,,,,,,,,,,Salmon-Challis Forest,,,,,,,,
Twin Metals ,                                                                              ,,,,"Under the Biden administration, the developer’s leases were canceled and a 20-year moratorium was placed on underground mining in the Superior National Forest. Recently (late 2023), the developer obtained permission from the state to explore on nearby state-owned land not covered by the federal moratorium. ","The Obama, Trump and Biden administrations flip flopped on the validity of the developer’s leases, which were invalid as of December 2024.  The developer was unsuccessful in the first round of litigation (2022) aimed at restoring the leases; in November 2023 the developer appealed that decision to the D.C. Circuit Court of Appeals. The DC Circuit may not reach a verdict, since the Department of Justice under President Trump may request that the Trump administration be given an opportunity to resolve the issue.  President Trump has pledged to allow the project to move forward, but a complex bureaucratic process is required to make that happen.",,,,"Located 9 miles southeast of Ely (3,268, 2020) and 11 miles northeast of Babbitt (pop 1,397, 2020) in northeastern Minnesota. The site is part of the  Duluth Complex geologic formation and is located near the Boundary Waters Canoe Area Wilderness.",,,,,,"A local Duluth-based company explored the site and then partnered with a Chilean-based multinational to help finance and develop it.  The two companies formed Twin Metals Inc, the current developer.",,,,,,,,,,,,,,,,,,"The first case addressed whether the Trump administration (2017), through BLM, was allowed to reinstate the leases for Twin Metals that the Obama administration had cancelled (2016). A federal district court ruled that the leases were reinstated lawfully.  When the Biden Administration, through BLM and USFS, rescinded the leases again, and the developer sued, a federal district court (2023) ruled that the rescissions were lawful. The developer sued to regain the leases but lost its suit in federal district court. The developer appealed to the DC Circuit Court of Appeals, which was deliberating in 2024.                            ",,,,,
Utah Lithium,,,,,"The developer has already compiled detailed datasets relating to historic well logs, petrophysics, stratigraphy and local geology, Going forward, the developer will conduct exploration work toward the upgrade of the Mineral Resource from Inferred to Indicated in accordance with JORC 2012; sample existing wells (and potential drilling of new well(s)) to obtain brine to verify historical lithium-brine geochemical results; conduct initial mineral processing test work to validate the potential extraction of lithium from Paradox Basin brine; and identify the reservoirs and/or areas with the greatest lithium-brine potential.",,,,,"Closest towns are Moab (pop 5,366, 2020), Grand County, southeastern Utah and Grand Junction, western Colorado. (Located in Paradox Basin:  Intreprid Potash’s Cane Creek potash mine is 32 miles to the northwest; Anson’s lithium project is 38 miles to the northwest). ",,,,,,,,"The developer confirmed partial acquisition of the Utah lithium project in May 2023, securing over 80,000 acres prospective for lithium brines in the Paradox Basin. It now fully owns 93,755 acres, or 379 square kilometers.",,,"Plan for two pilot DLE processing facilities.  Two DLE partners have produced battery-grade Lithium Hydroxide directly from Mandrake brine. DLE developer, Electroflow Technologies, achieved 92% conversion to lithium hydroxide with no chemical pretreatment of brine.    Rio-Tinto-backed ElectraLith successfully produced 99.9% pure battery-grade Lithium Hydroxide from Mandrake’s brines.  ",,,,"US$1 Million grant awarded by US Department of Energy (DOE) to a consortium of Mandrake, Idaho National Laboratories (INL), National Renewable Energy Laboratory (NREL) and University of Utah.  Will give Mandrake access to the foremost U.S. scientists and sophisticated U.S.-funded laboratories, plus cash to part fund forthcoming re-entry activities at oil and gas well sites.  Additional DOE applications for further funding are in process.  ",,,,,,,,,,,,,,
White Pine North,,,,"White Pine Mine is an abandoned site, in 1952 constructed by Copper Range.","In 2024 the developer initiated a second drill program of approximately 14,500 metres to collect samples for engineering study test work, in addition to assaying for the purposes of a resource update.  Key engineering trade-off studies and environmental baselining were also initiated to support permit requests.",,,,,"Located in the western region of the Upper Peninsula, Michigan, near the small communities White Pine (pop 339, 2020), Ontonagon (pop 1,285, 2020), Bergland (pop 141, 2020), Wakefield (pop 1,702, 2020), and Ironwood (pop 5,045, 2020).",,,,,,,,Highland Copper Company Inc. formed a joint venture with Kinterra Copper LLC in July 2023.,,,,,,,,,,,,,,,,,,,,,
Whitehorse Ranch,,,,,"Without an amendment to section 401 of the Steens Cooperative Management and Protection Act of 2000, the project will not be able to proceed.  In 2000 Congress withdrew from development a large swatch of land in eastern Oregon that includes the Steed Mountains, including the Alvord Desert.",The BLM determined in 2022 that the land staked by the developer was placed off limits to mining by a conservation law (the Steens Act) passed at the end of the Clinton administration (2000).,,,,"Located in the Alvord Desert in southeast Oregon near the town of Fields (pop 120, 2020); across the border in Nevada is the Lithium Americas’ Thacker Pass lithium project.",,The developer’s attempted claims were located on a volcanic field to the north of the McDermott and Thacker Pass lithium projects near the Nevada line.  The developer became intrigued due to some 1970s USGS sampling of two springs at nearby private land. ,,,,"ACME Lithium Inc. is developing two sites in southwest Nevada and two in Manitoba, Canada.",,,,,,,,,,,,,,,,,Company staked 340 placer mining claims encompassing approx. 6727 acres near the Nevada border in southeast Oregon in late March 2022,,,,,,
Willcox Playa,"
","Undetermined: Developer is researching pretreatment, concentration, extraction, purification and post-treatment of lithium to develop new extraction technologies for brine resources.",,,"In 2023-2024, the developer demonstrated through first-ever diamond drilling and clay separation that the Playa may host a top-tier lithium deposit extending from the developer’s ground through claims leased by the Defense Department. The developer’s BLM claims to the south may provide some of the most compelling targets on the property, and are a priority in the next phase of drilling.",,,,,"Located in southeast Arizona near the town of Wilcox (3,213 pop, 2020) and the Cochise Stronghold, a beautiful woodland area;  200 miles southeast of Phoenix. ",,,,,,,,,,,,,,,,,,,,,"The developer acquired 3,754 acres, mostly leased from the state of Arizona. Southern claims are BLM land.",,,,,,,,
Yerington,"Yerington and MacArthur properties, which are part of the Company's Yerington Copper Project.
","The PEA indicates that the Yerington Copper Project holds potential for phased open pit mining. These pits would feed sulfide material to a dedicated Nuton™ (Nuton) Heap Leach Facility (HLF) equipped with a 17 Mtpa crushing and agglomerating system that employs conveyors for material stacking on the HLF. Additionally, oxide material would be placed on a separate HLF near the sulfide facility, involving run-of-mine (ROM) oxide from Yerington and the residuals composed of the W-3 and VLT stockpiles. Oxide material from MacArthur would undergo sizing, conveying, agglomeration and then stacking on the oxide HLF, facilitated by a 25 Mtpa system.  Nuton technologies comprise a proprietary suite of Rio Tinto-developed copper heap leaching technologies aimed to recover primary copper sulfides. Copper recoveries from Yerington sulfide materials demonstrate an increase from below 25% to 74% for the sample tests to date, with an acid consumption calculated at 32 lb/ton. At this point in time (January 2024), the testing of Nuton technology on Yerington sulfide materials is ongoing. Preliminary results are promising. ",,,"The objective of the 2024 Yerington drilling program was to convert as much of the inferred resource as possible to the indicated resource classification so that it can be included in the prefeasibility study (""PFS""). The recently concluded drilling, together with the discovery of an additional 17 historic Anaconda holes that were not included in the January 2024 Preliminary Economic Assessment (""PEA""), are now being incorporated into an updated mineral resource as a key input into the PFS now in process.",,,,,"Near Yerington (3,048, 2020) and Weed Heights, Lyon County,  Nevada, Mason Valley, about 70 miles southeast of Reno.",,,,,,,,,,,"According to Lion Copper, the leaching process using Nuton’s methods can deliver recovery rates of 74% and eliminate the need for a concentrator, tailings impoundment, and resource-intense smelter operations.  The SXEW facilities will be located near the Nuton HLF. This technology is well-established and has a proven track record in industrial applications, resulting in the production of LME Grade A copper cathode using accepted industry reagents. The engineering and design of the SXEW facility is modular in nature, enabling shorter construction timelines and the flexibility to expand as necessary during the ramp- up phase. The initial SXEW production capacity is set at 70 million pounds per annum of copper cathode, with the capability to increase to 140 million pounds per annum through the addition of supplementary SXEW modules.",,,,,,,,,,,,,,,,,,
Zeus," 
","Mining methods need to be developed for the Zeus mineralized material, including an evaluation of use of coal-seam style scrapers to minimize mining costs. All of the lithium mineralization is hosted within clays hosted by the Esmeralda Formation.",,,"The developer has completed a total of 92 drillholes in seven phases of drilling between 2017 to 2024. The updated 2023-2024 Mineral Resource statement for the Zeus project includes the addition of 10 drillholes and their associated assay data from the Phase VII drilling program, comprehensive geological work including detailed geological mapping, review of historic drillholes and logs, review of literature regarding analogous deposits, the development of an ore deposit model and geological model to synthesize that work, and the collection of 167 density measurements as well as 32 tests of moisture content. ","In early February 2024, the developer received notification from the state that the County of Esmeralda had filed a protest against the Company’s water rights applications. The developer is engaging with the County and its advisors to resolve the concerns.  ",,,,"Halfway between Vegas and Reno, 220 miles southeast of Reno, accessed via Silver Peak, which is 7 miles west or from Tonopah, NV (pop 2,179, 2020), which is located 27 miles northeast; Esmeralda County, Nevada; perimeter of Zeus is as close as 1 mile from Albemarle’s Silver Peak. ",,,"The company was formerly known as Noram Ventures Inc. and changed its name to Noram Lithium Corp. in July 2021. The company was incorporated in 2010 and is headquartered in Vancouver, Canada",,,,,,,,,"Multi-step, on-site processing into LCE is planned.  ",,,,,,,,,,,"Developer acquired rights to the area in 2016. 146 placer claims and 136 lode claims. The land package covers 1,133 hectares (2,800 acres).",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
